,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
42,4/05/2023,20:00,Brighton,Man Utd,1,0,[90],[],59.6,40.4,22.0,16.0,6.0,5.0,11.0,6.0,5.0,5.0,86.3,75.6,0.0,2.0,8.0,6.0,0.0,2.0,53.3,65.0,63.2,36.8,5.0,5.0,10.0,14.0,13.0,9.0,4.0,4.0,0.0,0.0,Amex Stadium,31577,Andre Marriner,"Natalie Aspinall, Neil Davies",Chris Kavanagh,Andy Madley,Adam Nunn
43,3/05/2023,20:00,Liverpool,Fulham,1,0,[39],[],57.1,42.9,15.0,9.0,3.0,3.0,9.0,3.0,3.0,3.0,85.2,83.9,1.0,1.0,7.0,5.0,3.0,2.0,57.1,53.3,66.7,33.3,3.0,2.0,10.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0,Anfield,52602,Stuart Attwell,"Edward Smart, Nicholas Hopton",Darren England,Tony Harrington,Daniel Cook
44,3/05/2023,20:00,Man City,West Ham,3,0,"[50, 70, 85]",[],68.9,31.1,16.0,6.0,7.0,2.0,7.0,3.0,2.0,1.0,90.7,78.0,6.0,1.0,6.0,3.0,1.0,0.0,56.3,66.7,41.7,58.3,2.0,4.0,8.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,Etihad Stadium,53305,John Brooks,"Matt Wilkes, Nick Greenhalgh",Robert Jones,Michael Salisbury,Constantine Hatzidakis
45,2/05/2023,20:00,Arsenal,Chelsea,3,1,"[18, 31, 34]",[65],54.8,45.2,16.0,7.0,10.0,4.0,3.0,1.0,3.0,2.0,86.6,84.2,1.0,2.0,7.0,2.0,1.0,0.0,33.3,73.3,37.5,62.5,3.0,6.0,10.0,10.0,10.0,10.0,0.0,2.0,0.0,0.0,Emirates Stadium,60144,Robert Jones,"Timothy Wood, Wade Smith",Graham Scott,Andre Marriner,Stuart Burt
46,1/05/2023,20:00,Leicester,Everton,2,2,"[22, 33]","[15, 54]",55.3,44.7,15.0,23.0,6.0,8.0,4.0,9.0,5.0,6.0,74.1,72.1,3.0,1.0,2.0,9.0,6.0,3.0,52.6,60.0,47.6,52.4,6.0,3.0,10.0,12.0,11.0,9.0,4.0,1.0,0.0,0.0,The King Power Stadium,32173,Michael Oliver,"Stuart Burt, James Mainwaring",Simon Hooper,Neil Swarbrick,Simon Bennett
47,30/04/2023,14:00,"""Bmouth""",Leeds,4,1,"[20, 24, 63, 90]",[32],42.1,57.9,12.0,15.0,7.0,6.0,2.0,7.0,3.0,2.0,73.0,80.4,2.0,1.0,2.0,6.0,2.0,1.0,50.0,42.1,34.3,65.7,5.0,3.0,12.0,14.0,14.0,11.0,1.0,0.0,0.0,0.0,Vitality Stadium,10434,Chris Kavanagh,"Marc Perry, Steven Meredith",Andre Marriner,Craig Pawson,Natalie Aspinall
48,30/04/2023,14:00,Fulham,Man City,1,2,[15],"[3, 36]",37.4,62.6,4.0,12.0,1.0,9.0,1.0,3.0,2.0,0.0,81.3,87.0,1.0,1.0,2.0,5.0,3.0,1.0,63.6,71.4,46.9,53.1,7.0,0.0,9.0,10.0,10.0,8.0,1.0,3.0,0.0,0.0,Craven Cottage,24498,Simon Hooper,"Neil Davies, Simon Long",Graham Scott,Andy Madley,Sian Massey
49,30/04/2023,14:00,Man Utd,A Villa,1,0,[39],[],57.1,42.9,14.0,7.0,6.0,1.0,6.0,2.0,2.0,4.0,84.9,78.1,1.0,0.0,1.0,4.0,7.0,3.0,78.6,46.7,50.0,50.0,1.0,5.0,16.0,7.0,7.0,16.0,2.0,0.0,0.0,0.0,Old Trafford,73592,Jarred Gillet,"Constantine Hatzidakis, Harry Lennard",Darren England,Michael Oliver,Lee Betts
50,30/04/2023,14:00,Newcastle,"""Soton""",3,1,"[54, 81, 79]",[41],63.4,36.6,22.0,4.0,5.0,3.0,9.0,1.0,8.0,0.0,81.9,69.8,3.0,1.0,11.0,2.0,1.0,2.0,41.2,69.6,75.0,25.0,2.0,3.0,7.0,10.0,8.0,7.0,1.0,4.0,0.0,0.0,"""St James Park",52234,Anthony Taylor,"Gary Beswick, Adam Nunn",Stuart Attwell,Robert Jones,Nicholas Hopton
51,30/04/2023,16:30,Liverpool,Tottenham,4,3,"[3, 5, 15, 90]","[39, 77, 90]",67.6,32.4,12.0,10.0,4.0,7.0,4.0,3.0,4.0,0.0,88.3,73.7,2.0,4.0,5.0,2.0,0.0,5.0,68.8,62.5,74.1,25.9,3.0,0.0,12.0,6.0,6.0,12.0,3.0,2.0,0.0,0.0,Anfield,53275,Paul Tierney,"Richard West, Matt Wilkes",John Brooks,David Coote,Wade Smith
52,29/04/2023,24:30,C Palace,West Ham,4,3,"[15, 20, 30, 66]","[9, 35, 72]",59.9,40.1,16.0,8.0,6.0,4.0,4.0,3.0,6.0,1.0,78.7,65.6,0.0,1.0,8.0,5.0,1.0,1.0,61.9,65.2,57.4,42.6,1.0,2.0,9.0,17.0,17.0,9.0,1.0,2.0,0.0,0.0,Selhurst Park,25148,Craig Pawson,"Derek Eaton, Scott Ledger",Andy Madley,Jarred Gillet,Adrian Holmes
53,29/04/2023,15:00,Brentford,N Forest,2,1,"[82, 90]",[45],68.9,31.1,14.0,5.0,8.0,3.0,3.0,1.0,3.0,1.0,84.7,68.2,0.0,1.0,6.0,0.0,1.0,1.0,55.6,61.9,48.9,51.1,2.0,6.0,6.0,13.0,13.0,6.0,1.0,2.0,0.0,0.0,Gtech Community Stadium,17080,Peter Bankes,"Edward Smart, Mark Scholes",Graham Scott,Neil Swarbrick,Dan Robathan
